sample_group,theme,pre_mean,post_mean,change,pre_calls,post_calls
ai_forward_saas,AI strategy and investment,0.32421875,0.48471802158663346,0.16049927158663346,64,73
ai_forward_saas,AI infrastructure and computing,0.05538194444444444,0.06778282317745399,0.012400878733009546,64,73
ai_forward_saas,Generative AI and LLM,0.0078125,0.39306894457028047,0.38525644457028047,64,73
ai_forward_saas,AI productivity and enterprise applications,0.19279513888888888,0.31641523675112887,0.12362009786223999,64,73
ai_forward_saas,AI content and customer experience,0.21319444444444444,0.47868354379126665,0.2654890993468222,64,73
ai_forward_saas,"AI security, risk and responsibility",0.06692708333333333,0.1258570674746085,0.05892998414127518,64,73
data_cloud_security,AI strategy and investment,0.3383838383838384,0.5182994565347507,0.17991561815091234,66,72
data_cloud_security,AI infrastructure and computing,0.027777777777777776,0.13118749102204985,0.10340971324427208,66,72
data_cloud_security,Generative AI and LLM,0.0,0.42743281251246934,0.42743281251246934,66,72
data_cloud_security,AI productivity and enterprise applications,0.101010101010101,0.2590493123887731,0.1580392113786721,66,72
data_cloud_security,AI content and customer experience,0.19696969696969696,0.4255089250800035,0.22853922811030652,66,72
data_cloud_security,"AI security, risk and responsibility",0.18686868686868685,0.20724836052654677,0.02037967365785992,66,72
enterprise_software,AI strategy and investment,0.45196635868277657,0.5851822115076759,0.13321585282489934,67,72
enterprise_software,AI infrastructure and computing,0.14135276000947644,0.17186405075498212,0.03051129074550568,67,72
enterprise_software,Generative AI and LLM,0.0,0.4222066445121786,0.4222066445121786,67,72
enterprise_software,AI productivity and enterprise applications,0.07369106846718786,0.3384916268849447,0.26480055841775685,67,72
enterprise_software,AI content and customer experience,0.3650912106135986,0.4949191493825137,0.12982793876891507,67,72
enterprise_software,"AI security, risk and responsibility",0.08699360341151385,0.06011156987195429,-0.026882033539559563,67,72
platform_bigtech,AI strategy and investment,0.3369230769230769,0.5348713015379682,0.19794822461489137,65,72
platform_bigtech,AI infrastructure and computing,0.11619047619047619,0.2363916176416176,0.1202011414511414,65,72
platform_bigtech,Generative AI and LLM,0.03205128205128205,0.37811586561586563,0.3460645835645836,65,72
platform_bigtech,AI productivity and enterprise applications,0.16106227106227106,0.23869810744810746,0.0776358363858364,65,72
platform_bigtech,AI content and customer experience,0.16336996336996337,0.2946386175552842,0.13126865418532083,65,72
platform_bigtech,"AI security, risk and responsibility",0.04886446886446886,0.05731513856513856,0.008450669700669704,65,72
semis_ai_infra,AI strategy and investment,0.33259803921568626,0.6285638828447048,0.2959658436290185,68,73
semis_ai_infra,AI infrastructure and computing,0.488375350140056,0.509268319199826,0.02089296905976995,68,73
semis_ai_infra,Generative AI and LLM,0.017682072829131652,0.31759691982294724,0.2999148469938156,68,73
semis_ai_infra,AI productivity and enterprise applications,0.17447478991596635,0.2385361024059654,0.06406131248999905,68,73
semis_ai_infra,AI content and customer experience,0.2930672268907563,0.3701761898679707,0.07710896297721437,68,73
semis_ai_infra,"AI security, risk and responsibility",0.11018907563025208,0.06441904746699267,-0.04577002816325941,68,73
