label,pre_mean,post_mean,change
AI strategy and investment,0.35721741221741216,0.5503618586554588,0.19314444643804668
AI infrastructure and computing,0.1685161135161135,0.2236592289273045,0.05514311541119099
Generative AI and LLM,0.011471861471861472,0.3875055009138745,0.376033639442013
AI productivity and enterprise applications,0.1402308802308802,0.2782338649791141,0.13800298474823391
AI content and customer experience,0.2474338624338624,0.4128496198409007,0.1654157574070383
"AI security, risk and responsibility",0.10034632034632035,0.10294685457491418,0.002600534228593826
